                   X             LEGEND_1             LEGEND_2             LEGEND_3             LEGEND_4             LEGEND_5             LEGEND_6
             1.00000              0.19754              0.14315              0.17644              0.16889              0.18502              0.18493
             2.00000              0.19754              0.14315              0.17644              0.16889              0.18502              0.18493
             3.00000              0.19754              0.13200              0.15813              0.16889              0.16981              0.18493
             4.00000              0.17030              0.13200              0.15813              0.16889              0.16981              0.18493
             5.00000              0.16698              0.13200              0.15813              0.16885              0.13580              0.18493
             6.00000              0.15397              0.11955              0.15813              0.15965              0.10526              0.18493
             7.00000              0.15397              0.11954              0.15813              0.15965              0.10526              0.16988
             8.00000              0.15397              0.11954              0.15813              0.15965              0.10526              0.16988
             9.00000              0.14512              0.11954              0.15813              0.15965              0.10526              0.16988
            10.00000              0.14512              0.11954              0.15813              0.15965              0.10526              0.16988
            11.00000              0.12896              0.11954              0.15813              0.15965              0.10526              0.16988
            12.00000              0.12896              0.11954              0.15813              0.15965              0.10526              0.16988
            13.00000              0.10317              0.11954              0.15813              0.15965              0.10526              0.16988
            14.00000              0.10317              0.11954              0.15813              0.15965              0.09963              0.16988
            15.00000              0.10317              0.11954              0.15813              0.15965              0.09963              0.16988
            16.00000              0.10317              0.11954              0.15813              0.15965              0.09176              0.16988
            17.00000              0.10317              0.11954              0.15813              0.15965              0.09176              0.16988
            18.00000              0.10317              0.11954              0.15813              0.15965              0.09176              0.16988
            19.00000              0.10317              0.11954              0.15813              0.15965              0.09176              0.16988
            20.00000              0.10317              0.11954              0.15813              0.15965              0.09176              0.16988
